STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-02826,Success  Grand Rapids Fuller Ave,33,20-29,.,.,.,.,9,LT50,10,LT50,3,PS,11,LT50,1,PS,27,21-39,2,PS,.,.,4,PS,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-02824,Success  Belding,30,40-59,.,.,.,.,.,.,5,PS,.,.,25,40-59,1,PS,18,21-39,.,.,1,PS,3,PS,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-02834,Success  St Louis,17,LE20,.,.,.,.,.,.,1,PS,1,PS,15,LT50,2,PS,15,LT50,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,2.60543E+11,MI-11240-02981,Success  Kenowa Hills,51,20-29,1,PS,1,PS,2,PS,11,LT50,2,PS,34,20-29,4,PS,36,20-29,1,PS,2,PS,1,PS,23-Sep-19
MICHIGAN,26,2605690,MI-21065,Big Bay De Noc School District,2.60569E+11,MI-21065-06166,Big Bay De Noc School,11,GE50,.,.,.,.,.,.,.,.,1,PS,10,GE50,2,PS,2,PS,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2605780,MI-54010,Big Rapids Public Schools,2.60578E+11,MI-54010-07943,Big Rapids Virtual School,32,19-Nov,.,.,1,PS,.,.,2,PS,.,.,29,LE20,1,PS,19,LE20,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2605780,MI-54010,Big Rapids Public Schools,2.60578E+11,MI-54010-00322,Big Rapids High School,134,90-94,.,.,3,PS,9,GE50,4,PS,3,PS,115,90-94,13,GE50,52,70-79,.,.,8,GE50,.,.,23-Sep-19
MICHIGAN,26,2605820,MI-73170,Birch Run Area Schools,2.60582E+11,MI-73170-00327,Birch Run High School,157,90-94,1,PS,2,PS,2,PS,11,GE50,2,PS,139,90-94,10,LT50,52,GE90,.,.,2,PS,.,.,23-Sep-19
MICHIGAN,26,2605820,MI-73170,Birch Run Area Schools,2.60582E+11,MI-73170-09779,Birch Run Progressive High School,11,LT50,.,.,.,.,.,.,3,PS,.,.,8,LT50,1,PS,5,PS,.,.,2,PS,.,.,23-Sep-19
MICHIGAN,26,2605850,MI-63010,Birmingham Public Schools,2.60585E+11,MI-63010-01154,Ernest W Seaholm High School,318,96,.,.,7,GE50,10,GE50,8,GE50,8,GE50,285,GE95,31,70-79,18,GE80,.,.,2,PS,4,PS,23-Sep-19
MICHIGAN,26,2605850,MI-63010,Birmingham Public Schools,2.60585E+11,MI-63010-04608,Wylie E Groves High School,301,97,.,.,1,PS,75,GE95,6,GE50,9,GE50,210,GE95,41,80-89,40,GE90,.,.,2,PS,5,PS,23-Sep-19
MICHIGAN,26,2606000,MI-46040,Blissfield Community Schools,2.606E+11,MI-46040-00353,Blissfield High School,96,90-94,.,.,.,.,1,PS,6,GE50,2,PS,87,90-94,10,GE50,33,80-89,.,.,7,GE50,.,.,23-Sep-19
MICHIGAN,26,2606090,MI-63080,Bloomfield Hills Schools,2.60609E+11,MI-63080-05558,Wing Lake Developmental Center,6,LT50,.,.,.,.,1,PS,.,.,1,PS,4,PS,6,LT50,5,PS,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2606090,MI-63080,Bloomfield Hills Schools,2.60609E+11,MI-63080-02118,Bloomfield Hills High School,458,96,.,.,49,GE90,52,GE90,17,GE80,21,GE80,319,96,53,80-89,54,80-89,1,PS,.,.,8,LT50,23-Sep-19
MICHIGAN,26,2606270,MI-80090,Bloomingdale Public School District,2.60627E+11,MI-80090-00357,Bloomingdale Middle and High School,78,60-64,1,PS,.,.,7,LT50,16,60-79,1,PS,53,60-69,11,GE50,62,55-59,.,.,7,GE50,5,PS,23-Sep-19
MICHIGAN,26,2606500,MI-15020,Boyne City Public Schools,2.6065E+11,MI-15020-08545,MorganShaw School,9,LT50,.,.,.,.,.,.,.,.,.,.,9,LT50,2,PS,8,GE50,.,.,2,PS,.,.,23-Sep-19
MICHIGAN,26,2606500,MI-15020,Boyne City Public Schools,2.6065E+11,MI-15020-00371,Boyne City High School,94,GE95,1,PS,1,PS,2,PS,2,PS,5,PS,83,GE95,11,GE50,32,GE90,.,.,4,PS,.,.,23-Sep-19
MICHIGAN,26,2606510,MI-15030,Boyne Falls Public School District,2.60651E+11,MI-15030-00372,Boyne Falls Public School,7,GE50,.,.,.,.,.,.,.,.,1,PS,6,GE50,1,PS,2,PS,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2606570,MI-63180,Brandon School District in the Counties of Oakland and Lapee,2.60657E+11,MI-63180-00385,Brandon High School,254,89,2,PS,6,GE50,20,GE80,15,GE50,11,GE50,200,85-89,39,60-69,89,80-84,1,PS,3,PS,8,GE50,23-Sep-19
MICHIGAN,26,2606600,MI-11210,Brandywine Community Schools,2.6066E+11,MI-11210-08161,Brandywine Innovation Academy,23,LE20,.,.,.,.,.,.,.,.,1,PS,22,LE20,.,.,15,LT50,.,.,1,PS,.,.,23-Sep-19
MICHIGAN,26,2606600,MI-11210,Brandywine Community Schools,2.6066E+11,MI-11210-00387,Brandywine Senior High School,80,90-94,.,.,2,PS,3,PS,7,GE50,2,PS,66,90-94,7,GE50,42,80-89,1,PS,3,PS,1,PS,23-Sep-19
MICHIGAN,26,2606630,MI-29040,Breckenridge Community Schools,2.60663E+11,MI-29040-00388,Breckenridge High School,59,80-89,.,.,.,.,1,PS,4,PS,.,.,54,80-89,11,LT50,32,60-69,.,.,1,PS,2,PS,23-Sep-19
MICHIGAN,26,2606720,MI-22030,Breitung Township School District,2.60672E+11,MI-22030-02039,Kingsford High School,117,GE95,.,.,1,PS,.,.,7,GE50,7,GE50,102,GE95,15,GE50,37,GE90,.,.,5,PS,.,.,23-Sep-19
MICHIGAN,26,2606780,MI-73180,Bridgeport-Spaulding Community School District,2.60678E+11,MI-73180-00398,Bridgeport High School,139,80-84,.,.,.,.,86,75-79,27,GE80,6,GE50,20,GE80,24,40-59,102,80-84,.,.,3,PS,1,PS,23-Sep-19
MICHIGAN,26,2606840,MI-11340,Bridgman Public Schools,2.60684E+11,MI-11340-00401,Bridgman High School,54,GE90,.,.,.,.,1,PS,1,PS,1,PS,51,GE90,5,PS,17,GE80,.,.,3,PS,1,PS,23-Sep-19
MICHIGAN,26,2606870,MI-47010,Brighton Area Schools,2.60687E+11,MI-47010-00402,Brighton High School,535,98,2,PS,6,GE50,2,PS,22,GE80,2,PS,501,98,40,70-79,67,GE95,.,.,5,PS,4,PS,23-Sep-19
MICHIGAN,26,2606870,MI-47010,Brighton Area Schools,2.60687E+11,MI-47010-09920,Bridge Alternative High School,38,40-49,.,.,.,.,.,.,1,PS,.,.,37,40-49,19,21-39,27,40-59,1,PS,5,PS,.,.,23-Sep-19
MICHIGAN,26,2606900,MI-17140,Brimley Area Schools,2.6069E+11,MI-17140-00404,Brimley JrSr High,32,80-89,15,GE50,.,.,1,PS,.,.,.,.,16,GE80,1,PS,16,60-79,.,.,1,PS,.,.,23-Sep-19
MICHIGAN,26,2606930,MI-46050,Britton Deerfield Schools,2.60693E+11,MI-46050-00686,Britton Deerfield SchoolsBritton Building,61,90-94,1,PS,1,PS,1,PS,.,.,1,PS,57,GE90,9,GE50,22,GE80,.,.,3,PS,.,.,23-Sep-19
MICHIGAN,26,2606960,MI-12020,Bronson Community School District,2.60696E+11,MI-12020-00408,Bronson JrSr High School,84,GE95,1,PS,.,.,2,PS,17,GE80,2,PS,62,GE95,5,PS,41,GE90,.,.,7,GE50,.,.,23-Sep-19
MICHIGAN,26,2606990,MI-38040,Columbia School District,2.60699E+11,MI-38040-05598,Columbia Alternative Education,44,30-39,.,.,.,.,1,PS,1,PS,.,.,42,20-29,4,PS,27,21-39,.,.,3,PS,.,.,23-Sep-19
MICHIGAN,26,2606990,MI-38040,Columbia School District,2.60699E+11,MI-38040-05884,Columbia Central High School,101,90-94,.,.,2,PS,.,.,7,GE50,1,PS,91,GE95,18,GE80,33,80-89,.,.,2,PS,.,.,23-Sep-19
MICHIGAN,26,2607040,MI-76060,Brown City Community Schools,2.60704E+11,MI-76060-07905,Brown City Alternative HS,6,LT50,.,.,.,.,.,.,.,.,.,.,6,LT50,2,PS,5,PS,.,.,1,PS,.,.,23-Sep-19
MICHIGAN,26,2607040,MI-76060,Brown City Community Schools,2.60704E+11,MI-76060-00421,Brown City High School,74,GE95,.,.,.,.,4,PS,1,PS,.,.,69,GE95,12,GE50,40,GE90,.,.,3,PS,.,.,23-Sep-19
MICHIGAN,26,2607080,MI-82180,Flat Rock Community Schools,2.60708E+11,MI-82180-01246,Flat Rock Community High School,129,GE95,1,PS,1,PS,7,GE50,10,GE50,2,PS,108,GE95,24,GE80,36,GE90,.,.,4,PS,.,.,23-Sep-19
MICHIGAN,26,2607080,MI-82180,Flat Rock Community Schools,2.60708E+11,MI-82180-02336,Flat Rock Academic Virtual Academy 612,36,20-29,.,.,.,.,1,PS,4,PS,1,PS,30,21-39,4,PS,23,21-39,.,.,.,.,1,PS,23-Sep-19
MICHIGAN,26,2607140,MI-11310,Buchanan Community Schools,2.60714E+11,MI-11310-00435,Buchanan High School,103,GE95,1,PS,.,.,9,GE50,4,PS,9,GE50,80,GE95,12,GE50,53,GE90,.,.,3,PS,.,.,23-Sep-19
MICHIGAN,26,2607140,MI-11310,Buchanan Community Schools,2.60714E+11,MI-11310-02344,Buchanan Virtual Academy,23,40-59,.,.,.,.,1,PS,.,.,2,PS,20,40-59,2,PS,13,LT50,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2607170,MI-28035,Buckley Community Schools,2.60717E+11,MI-28035-00438,Buckley Community Schools,37,70-79,.,.,1,PS,.,.,.,.,1,PS,35,70-79,4,PS,20,60-79,.,.,1,PS,3,PS,23-Sep-19
