STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
TEXAS,48,4816570,TX-019901,DEKALB ISD,4.81657E+11,TX-019901-019901001,DEKALB H S,60,GE90,,,,,17,GE80,6,GE50,1,PS,36,GE90,9,GE50,40,GE90,,,,,3,PS,23-Sep-19
TEXAS,48,4816620,TX-227910,DEL VALLE ISD,4.81662E+11,TX-227910-227910001,DEL VALLE H S,624,94,1,PS,6,GE50,74,GE95,500,94,6,GE50,37,80-89,64,85-89,487,93,3,PS,29,GE80,91,85-89,23-Sep-19
TEXAS,48,4816620,TX-227910,DEL VALLE ISD,4.81662E+11,TX-227910-227910002,DEL VALLE OPPORTUNITY CTR,228,81,,,2,PS,13,GE50,200,80-84,4,PS,9,GE50,30,40-59,186,80-84,,,27,60-79,49,70-79,23-Sep-19
TEXAS,48,4816650,TX-115903,DELL CITY ISD,4.81665E+11,TX-115903-115903001,DELL CITY SCHOOL,7,GE50,,,,,,,5,PS,,,2,PS,,,7,GE50,,,,,2,PS,23-Sep-19
TEXAS,48,4816710,TX-091903,DENISON ISD,4.81671E+11,TX-091903-091903001,DENISON H S,278,91,10,GE50,1,PS,22,GE80,55,GE90,23,GE80,167,90-94,38,80-89,146,90-94,1,PS,2,PS,9,GE50,23-Sep-19
TEXAS,48,4816710,TX-091903,DENISON ISD,4.81671E+11,TX-091903-091903002,PATHWAYS H S,36,GE90,5,PS,,,1,PS,5,PS,,,25,GE80,4,PS,23,GE80,1,PS,4,PS,,,23-Sep-19
TEXAS,48,4816740,TX-061901,DENTON ISD,4.81674E+11,TX-061901-061901003,DENTON H S,477,92,,,13,GE50,73,80-84,171,90-94,6,GE50,214,90-94,46,80-89,212,85-89,4,PS,33,70-79,66,85-89,23-Sep-19
TEXAS,48,4816740,TX-061901,DENTON ISD,4.81674E+11,TX-061901-061901040,JOE DALE SPARKS CAMPUS,2,PS,,,,,,,,,,,2,PS,,,,,,,,,,,23-Sep-19
TEXAS,48,4816740,TX-061901,DENTON ISD,4.81674E+11,TX-061901-061901002,RYAN H S,446,97,4,PS,11,GE50,72,90-94,167,GE95,2,PS,190,GE95,44,80-89,223,GE95,,,30,GE80,69,GE95,23-Sep-19
TEXAS,48,4816740,TX-061901,DENTON ISD,4.81674E+11,TX-061901-061901007,GUYER H S,606,GE99,4,PS,21,GE80,57,GE90,138,GE95,9,GE50,377,GE99,35,80-89,111,GE95,2,PS,12,GE50,34,GE90,23-Sep-19
TEXAS,48,4816740,TX-061901,DENTON ISD,4.81674E+11,TX-061901-061901039,FRED MOORE H S,45,50-59,1,PS,,,7,GE50,15,GE50,1,PS,21,40-59,1,PS,26,60-79,,,7,GE50,7,LT50,23-Sep-19
TEXAS,48,4816770,TX-251901,DENVER CITY ISD,4.81677E+11,TX-251901-251901001,DENVER CITY H S,141,GE95,,,,,1,PS,111,GE95,,,29,GE80,9,GE50,56,GE90,,,1,PS,9,GE50,23-Sep-19
TEXAS,48,4816860,TX-057906,DESOTO ISD,4.81686E+11,TX-057906-057906001,DESOTO H S & ISTEAM3D,731,94,1,PS,5,PS,617,96,81,85-89,6,GE50,21,GE80,77,90-94,488,96,28,60-79,9,GE50,16,60-79,23-Sep-19
TEXAS,48,4816890,TX-194905,DETROIT ISD,4.81689E+11,TX-194905-194905001,DETROIT H S,36,GE90,,,,,3,PS,,,1,PS,32,GE90,3,PS,16,GE80,,,1,PS,,,23-Sep-19
TEXAS,48,4816950,TX-163901,DEVINE ISD,4.81695E+11,TX-163901-163901001,DEVINE H S,156,90-94,,,,,1,PS,88,90-94,3,PS,64,GE95,14,GE50,59,80-89,1,PS,4,PS,3,PS,23-Sep-19
TEXAS,48,4817010,TX-176903,DEWEYVILLE ISD,4.81701E+11,TX-176903-176903001,DEWEYVILLE H S,40,GE90,,,,,,,1,PS,,,39,GE90,4,PS,20,GE80,,,19,GE80,1,PS,23-Sep-19
TEXAS,48,4817040,TX-003905,DIBOLL ISD,4.81704E+11,TX-003905-003905001,DIBOLL H S,117,GE95,,,2,PS,11,GE50,71,GE95,2,PS,31,GE90,15,GE50,76,GE95,,,10,GE50,12,GE50,23-Sep-19
TEXAS,48,4817040,TX-003905,DIBOLL ISD,4.81704E+11,TX-003905-003905004,STUBBLEFIELD LRN CTR,11,GE50,,,,,1,PS,7,GE50,,,3,PS,2,PS,1,PS,,,1,PS,2,PS,23-Sep-19
TEXAS,48,4817070,TX-084901,DICKINSON ISD,4.81707E+11,TX-084901-084901001,DICKINSON H S,698,88,5,PS,20,GE80,149,85-89,318,87,15,GE50,191,85-89,75,75-79,430,86,3,PS,97,85-89,29,60-79,23-Sep-19
TEXAS,48,4817070,TX-084901,DICKINSON ISD,4.81707E+11,TX-084901-084901009,DICKINSON CONTINUATION CENTER,69,70-74,,,1,PS,10,GE50,27,60-79,2,PS,29,60-79,1,PS,45,70-79,,,6,GE50,1,PS,23-Sep-19
TEXAS,48,4817100,TX-082902,DILLEY ISD,4.8171E+11,TX-082902-082902001,DILLEY H S,68,GE95,,,,,,,61,GE95,,,7,GE50,8,GE50,52,GE90,1,PS,15,GE50,,,23-Sep-19
TEXAS,48,4817130,TX-144903,DIME BOX ISD,4.81713E+11,TX-144903-144903001,DIME BOX SCHOOL,14,GE50,1,PS,,,6,GE50,5,PS,,,2,PS,3,PS,10,GE50,,,,,,,23-Sep-19
TEXAS,48,4817160,TX-035901,DIMMITT ISD,4.81716E+11,TX-035901-035901001,DIMMITT H S,63,GE95,,,,,,,52,GE90,,,11,GE50,4,PS,46,GE90,,,1,PS,5,PS,23-Sep-19
TEXAS,48,4817280,TX-074904,DODD CITY ISD,4.81728E+11,TX-074904-074904001,DODD CITY SCHOOL,14,GE50,,,,,,,,,1,PS,13,GE50,1,PS,3,PS,,,,,,,23-Sep-19
TEXAS,48,4817390,TX-108902,DONNA ISD,4.81739E+11,TX-108902-108902001,DONNA H S,449,90,,,,,1,PS,445,90,,,3,PS,29,60-79,392,89,,,21,GE80,118,80-84,23-Sep-19
TEXAS,48,4817390,TX-108902,DONNA ISD,4.81739E+11,TX-108902-108902006,3D ACADEMY,161,55-59,,,,,1,PS,158,55-59,,,2,PS,13,GE50,150,60-64,,,21,21-39,83,55-59,23-Sep-19
TEXAS,48,4817390,TX-108902,DONNA ISD,4.81739E+11,TX-108902-108902007,DONNA NORTH H S,465,90,,,,,,,463,90,,,2,PS,24,60-79,441,90,,,58,80-89,141,85-89,23-Sep-19
TEXAS,48,4817460,TX-174911,DOUGLASS ISD,4.81746E+11,TX-174911-174911001,DOUGLASS SCHOOL,35,GE90,1,PS,,,2,PS,7,GE50,,,25,GE80,1,PS,11,GE50,,,,,,,23-Sep-19
TEXAS,48,4817580,TX-072902,DUBLIN ISD,4.81758E+11,TX-072902-072902001,DUBLIN H S,71,GE95,,,,,1,PS,41,GE90,2,PS,27,GE80,5,PS,49,GE90,,,2,PS,2,PS,23-Sep-19
TEXAS,48,4817610,TX-171901,DUMAS ISD,4.81761E+11,TX-171901-171901001,DUMAS H S,206,98,,,6,GE50,2,PS,143,GE95,1,PS,54,GE90,13,GE50,91,GE95,,,6,GE50,15,GE50,23-Sep-19
TEXAS,48,4817610,TX-171901,DUMAS ISD,4.81761E+11,TX-171901-171901002,NORTH PLAINS OPPORTUNITY CENTER,85,GE95,,,2,PS,2,PS,64,GE95,,,17,GE80,17,GE80,39,GE90,,,8,GE50,18,GE80,23-Sep-19
TEXAS,48,4817640,TX-057907,DUNCANVILLE ISD,4.81764E+11,TX-057907-057907001,DUNCANVILLE H S,852,96,3,PS,19,GE80,398,97,385,95,9,GE50,38,80-89,70,90-94,617,95,5,PS,15,GE50,62,80-84,23-Sep-19
TEXAS,48,4817640,TX-057907,DUNCANVILLE ISD,4.81764E+11,TX-057907-057907004,MARY E SMITHEY PACE H S,110,65-69,1,PS,1,PS,45,70-79,58,60-69,2,PS,3,PS,1,PS,78,60-64,3,PS,6,GE50,13,GE50,23-Sep-19
TEXAS,48,4817700,TX-220918,EAGLE MT-SAGINAW ISD,4.8177E+11,TX-220918-220918001,BOSWELL H S,415,96,5,PS,19,GE80,26,GE80,109,GE95,15,GE50,241,GE95,34,70-79,116,90-94,1,PS,8,GE50,14,GE50,23-Sep-19
TEXAS,48,4817700,TX-220918,EAGLE MT-SAGINAW ISD,4.8177E+11,TX-220918-220918002,ELMER C WATSON H S,129,80-84,1,PS,1,PS,11,GE50,49,80-89,3,PS,64,75-79,11,GE50,68,80-84,,,15,GE50,6,GE50,23-Sep-19
TEXAS,48,4817700,TX-220918,EAGLE MT-SAGINAW ISD,4.8177E+11,TX-220918-220918003,ALTER DISCIPLINE CAMPUS,1,PS,,,,,,,1,PS,,,,,,,1,PS,,,1,PS,,,23-Sep-19
